# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
      [DEL]      -5  [ = ]       0    puts
      [NEW]     +12  [ = ]       0    snprintf
       +89%      +8  [ = ]       0    sprintf
      [NEW]     +19  [ = ]       0    thread_flags_clear
      [NEW]     +17  [ = ]       0    thread_flags_set
      [NEW]     +18  [ = ]       0    thread_flags_wake
    +1.3%     +10  [ = ]       0    crypto
     -45.5%      -5  [ = ]       0    f25519_sub
      [NEW]     +23  [ = ]       0    m.5497
      [DEL]     -23  [ = ]       0    m.5501
      +125%     +15  [ = ]       0    sha1_update
    [NEW]    +243  [ = ]       0    mqttsn
      [NEW]      +7  [ = ]       0    cli_id
      [NEW]     +11  [ = ]       0    emcute_con
      [NEW]     +11  [ = ]       0    emcute_pub
      [NEW]     +11  [ = ]       0    emcute_reg
      [NEW]     +11  [ = ]       0    emcute_run
      [NEW]     +11  [ = ]       0    emcute_sub
      [NEW]      +8  [ = ]       0    gateway
      [NEW]     +27  [ = ]       0    id_next
      [NEW]      +7  [ = ]       0    on_ack
      [NEW]     +14  [ = ]       0    on_ack.part.0
      [NEW]      +5  [ = ]       0    puts
      [NEW]      +5  [ = ]       0    rbuf
      [NEW]      +7  [ = ]       0    result
      [NEW]     +20  [ = ]       0    set_len.constprop.0
      [NEW]      +5  [ = ]       0    sock
      [NEW]     +26  [ = ]       0    sock_udp_send.constprop.0
      [NEW]      +5  [ = ]       0    subs
      [NEW]      +9  [ = ]       0    syncsend
      [NEW]      +5  [ = ]       0    tbuf
      [NEW]      +9  [ = ]       0    time_evt
      [NEW]      +6  [ = ]       0    timer
      [NEW]      +7  [ = ]       0    txlock
      [NEW]      +7  [ = ]       0    waiton
      [NEW]      +9  [ = ]       0    waitonid
    -2.1%    -104  [ = ]       0    network
      [DEL]      -8  [ = ]       0    __errno
      [DEL]      -8  [ = ]       0    _getc_r
      [DEL]      -6  [ = ]       0    _parse_netif
      [DEL]     -12  [ = ]       0    _parse_port
      [NEW]      +8  [ = ]       0    _putc_r
      [DEL]      -5  [ = ]       0    atol
      [NEW]     +13  [ = ]       0    enable.11742
      [DEL]     -13  [ = ]       0    enable.11834
     -45.2%     -19  [ = ]       0    gnrc_pktbuf_static_buf
      [DEL]     -10  [ = ]       0    inet_pton
      [DEL]     -15  [ = ]       0    sock_tl_str2ep
      [DEL]     -15  [ = ]       0    sock_udp_close
      [DEL]     -14  [ = ]       0    sock_urlsplit
    -5.1%     -47  [ = ]       0    ota
      [DEL]      -6  [ = ]       0    _2buf
      [NEW]     +11  [ = ]       0    _block_sub
      [NEW]     +15  [ = ]       0    _get_blockwise
       +38%     +11  [ = ]       0    _main_msg_queue
      [DEL]     -27  [ = ]       0    _nanocoap_server_msg_queue
      [DEL]     -23  [ = ]       0    _nanocoap_server_stack
      [DEL]     -24  [ = ]       0    _nanocoap_server_thread
      [NEW]     +17  [ = ]       0    _on_pub_firmware
      [NEW]     +17  [ = ]       0    _on_pub_manifest
      [NEW]     +13  [ = ]       0    _on_pub_size
      [NEW]     +16  [ = ]       0    _on_pub_trigger
      [NEW]     +19  [ = ]       0    _parse_block_topic
      [NEW]     +13  [ = ]       0    _prefix.9829
